Station|Source|Net|Latitude|Longitude|Distance|Azimuth|Elevation|Station Name
PFO|IRISDMC|II|33.6107|-116.4544|0.2310961266976538|29.846751109596646|1280|Pinon Flat, California, USA
PASC|SCEDC|CI|34.17141|-118.18523|1.5268459437176727|-59.66111211572845|341|Art Center College of Design (GSN-affiliate)
TUC|IRISDMC|IU|32.3098|-110.7847|5.0003691241662755|101.1249903834027|910|Tucson, Arizona
NV31|IRISDMC|IM|38.4328|-118.155403|5.179229943804049|-13.690419037700991|1509|NVAR Array Site 31, Mina, NV, USA
CMB|NCEDC|BK|38.03455|-120.386513|5.554872921443247|-32.57564462886628|697|Columbia College, Columbia, CA, USA
ANMO|IRISDMC|IU|34.94591|-106.4572|8.520345608725302|76.79666984678234|1820|Albuquerque, New Mexico, USA
PD31|IRISDMC|IM|42.7672|-109.558098|10.862540162764834|28.493723581110547|2219|PDAR Array, Pinedale, WY, USA
SLBS|IRISDMC|IU|23.6858|-109.9443|11.336105052786833|147.35937976510135|825|Sierra la Laguna Baja California Sur, Mexico
TX31|IRISDMC|IM|29.334299|-103.667702|11.753342467221113|106.81264446884283|991.4|TXAR Array, Lajitas, TX, USA
TX32|IRISDMC|IM|29.334|-103.667702|11.753462013950687|106.81398988573935|995.5|Lajitas Array Site 32 (same as tx01 and TX00)
COR|IRISDMC|IU|44.5855|-123.3046|12.321796603353048|-22.95913748540761|110|Corvallis, Oregon, USA
RSSD|IRISDMC|IU|44.1212|-104.0359|14.477755245013682|38.62787565374205|2090|Black Hills, South Dakota, USA
HKT|IRISDMC|IU|29.96478|-95.83812|17.961395409998406|95.42312103885544|69|Hockley1 Texas
CCM|IRISDMC|IU|38.0557|-91.2446|21.023342047380332|69.99467331069101|222|Cathedral Cave, Missouri, USA
FFC|IRISDMC|II|54.725|-101.9783|23.651617278719726|21.29721374791162|338|Flin Flon, Canada
WVT|IRISDMC|IU|36.1297|-87.83|23.695998453054784|75.25081853028472|170|Waverly, Tennessee, USA
WCI|IRISDMC|IU|38.2289|-86.2939|24.91988942220727|70.14859378397686|210|Wyandotte Cave, Indiana, USA
TEIG|IRISDMC|IU|20.2263|-88.2763|28.367456771303136|110.48244605386942|40|Tepich, Yucatan, Mexico
DWPF|IRISDMC|IU|28.1103|-81.4327|30.527090278844245|90.42395002983491|30|Disney Wilderness Preserve, Florida, USA
SSPA|IRISDMC|IU|40.6358|-77.8876|31.46751949486947|65.37104556849197|270|Standing Stone, Pennsylvania
TGUH|IRISDMC|CU|14.057|-87.273|32.8845969873436|118.9690924728507|1151|Tegucigalpa, Honduras
KDAK|IRISDMC|II|57.7828|-152.5835|34.31710358553003|-33.76015422905635|152|Kodiak Island, Alaska, USA
HRV|IRISDMC|IU|42.5064|-71.5583|36.20345035135415|62.01544742279241|200|Adam Dziewonski Observatory (Oak Ridge), Massachusetts, USA
IL31|IRISDMC|IM|64.7714|-146.886597|36.35884302681506|-21.26445358866603|419|ILAR Array, Site 31, Eielson, AK, USA
COLA|IRISDMC|IU|64.873599|-147.8616|36.72762132000336|-21.62658954961359|200|College Outpost, Alaska, USA
JTS|IRISDMC|II|10.2908|-84.9525|37.09777527859767|121.16224344372233|340|Las Juntas de Abangares, Costa Rica
POHA|IRISDMC|IU|19.7573|-155.5326|37.138041919954794|-101.5513038256963|1990|Pohakuloa, Hawaii, USA
MTDJ|IRISDMC|CU|18.22605|-77.53454|38.01130988606829|103.62228151752547|925|Mount Denham, Jamaica
KIP|IRISDMC|IU|21.42|-158.0112|38.38754777857534|-97.35945356457799|110|Kipapa, Hawaii, USA
GTBY|IRISDMC|CU|19.9268|-75.1108|39.14138052460303|99.42038021071046|79|Guantanamo Bay, Cuba
BCIP|IRISDMC|CU|9.1665|-79.8373|41.58455375648624|117.11905715402669|61|Isla Barro Colorado, Panama
GRTK|IRISDMC|CU|21.51149|-71.1327|41.70098213272798|94.5889178994337|12|Grand Turk, Turks and Caicos Islands
PAYG|IRISDMC|IU|-0.6742|-90.2861|42.117715676072834|138.6423688826872|270|Puerto Ayora, Galapagos Islands
SDDR|IRISDMC|CU|18.9821|-71.2878|42.75295038560225|98.01890999149998|589|Presa de Sabenta, Dominican Republic
BBSR|IRISDMC|IU|32.371299|-64.696299|43.124261279657695|76.4685673889823|30|Bermuda Institute of Ocean Sciences, St George's Bermuda
ADK|IRISDMC|IU|51.8823|-176.6842|46.35976531512378|-47.67774984445891|130|Adak, Aleutian Islands, Alaska
SJG|IRISDMC|IU|18.1091|-66.15|47.434690136300695|95.7538224710584|420|San Juan, Puerto Rico
OTAV|IRISDMC|IU|0.2376|-78.4508|48.79191653602184|124.82207328296602|3510|Otavalo, Ecuador
SDV|IRISDMC|IU|8.8839|-70.634|48.8240414301957|109.34093112019764|1620|Santo Domingo, Venezuela
XMAS|IRISDMC|IU|2.0448|-157.4457|49.41021814557376|-120.5896128039407|20|Kiritimati Island, Republic of Kiribati
JOHN|IRISDMC|IU|16.7329|-169.5292|50.18354323683604|-95.78932785351934|2|Johnston Island, USA
SFJD|IRISDMC|IU|66.9961|-50.62076|50.232446787728485|27.668897374440462|330|Sondre Stromfjord, Greenland
ANWB|IRISDMC|CU|17.6684|-61.78562|51.2795445946493|93.60264108363707|39|North Barbuda Island
MIDW|IRISDMC|IU|28.2156|-177.3698|51.724933666305255|-78.40540282761256|20|Midway Island, USA
ALE|IRISDMC|II|82.5033|-62.35|52.44185318256309|7.67518745395289|60|Alert, NU, Canada
GRGR|IRISDMC|CU|12.1324|-61.654|54.22933445418136|99.49242697074709|195|Grenville, Grenada
BILL|IRISDMC|IU|68.0653|166.4531|54.468022921188364|-26.562694505203353|320|Bilibino, Russia
BBGH|IRISDMC|CU|13.1434|-59.5588|55.42159656880143|97.11365530624686|180|Gun Hill, Barbados
NNA|IRISDMC|II|-11.9875|-76.8422|59.107684393745075|133.2052613791972|575|Nana, Peru
PTCN|IRISDMC|IU|-25.0713|-130.0953|59.876062264985066|-165.84667560302358|220|Pitcairn Island, South Pacific
RPN|IRISDMC|II|-27.1267|-109.3344|60.92802682504116|172.6083749487088|110|Rapanui, Easter Island, Chile
PET|IRISDMC|IU|53.0233|158.6499|60.93743182390576|-43.25564838735472|110|Petropavlovsk, Russia
BORG|IRISDMC|II|64.7474|-21.3268|62.268505573694064|28.681209685198876|110|Borgarfjordur, Asbjarnarstadir, Iceland
MA2|IRISDMC|IU|59.5756|150.77|62.91214475486819|-34.6240827964528|337|Magadan, Russia
KNTN|IRISDMC|IU|-2.7744|-171.7186|63.251560903048116|-113.41550828097965|20|Kanton, Kiritibati
KBS|IRISDMC|IU|78.9154|11.9385|63.87153205231239|9.643471434342489|90|Ny-Alesund, Spitzbergen, Norway
TIXI|IRISDMC|IU|71.6341|128.8667|65.58500446761447|-18.34689593121612|40|Tiksi, Russia
SAML|IRISDMC|IU|-8.9489|-63.1831|66.05381795706296|119.79149639167304|120|Samuel, Brazil
RAR|IRISDMC|IU|-21.2125|-159.7733|68.39406624867696|-136.67407098103342|28|Rarotonga, Cook Islands
WAKE|IRISDMC|IU|19.2834|166.652|68.7549130642923|-80.32783498628999|20|Wake Island
AFI|IRISDMC|IU|-13.9085|-171.7827|70.71956792219062|-122.39928945454984|706|Afiamalu, Samoa
YAK|IRISDMC|IU|62.031|129.6805|70.80464007609334|-27.04094213615884|110|Yakutsk, Russia
CMLA|IRISDMC|II|37.7637|-25.5243|71.04001126420114|56.69388299532062|429|Cha de Macela, Sao Miguel Island, Azores
YSS|IRISDMC|IU|46.9587|142.7604|72.71222152903255|-44.628840544150904|150|Yuzhno Sakhalinsk, Russia
TARA|IRISDMC|IU|1.3549|172.9229|73.03436120102953|-99.88224419095447|20|Tarawa Island, Republic of Kiribati
KWJN|IRISDMC|II|9.2873|167.5369|73.14412715983497|-89.87655898424754|0|Gagan, Kwajalein Atoll, Marshall Islands
KEV|IRISDMC|IU|69.7565|27.0035|73.49182725467573|12.367261912882462|100|Kevo, Finland
FUNA|IRISDMC|IU|-8.5259|179.1966|73.88790024899075|-112.0498456017575|20|Funafuti, Tuvalu
ESK|IRISDMC|II|55.3167|-3.205|74.6783577549502|32.7882419184302|242|Eskdalemuir, Scotland, UK
ERM|IRISDMC|II|42.015|143.1572|75.03737748445897|-49.180301067128696|40|Erimo, Hokkaido Island, Japan
LCO|IRISDMC|IU|-29.011|-70.7005|76.05132703532797|139.68309981771336|2274|Las Campanas Astronomical Observatory, Chile
LVZ|IRISDMC|II|67.8979|34.6514|76.41893311776585|10.732153035171116|630|Lovozero, Russia
KONO|IRISDMC|IU|59.6521|9.5946|76.92858962622341|24.74815098443032|558|Kongsberg, Norway
MSVF|IRISDMC|II|-17.7448|178.0528|80.57777535878873|-118.65743385334446|801.1|Monasavu, Fiji
MAJO|IRISDMC|IU|36.54567|138.20406|81.25645901393001|-51.66339510365677|405|Matsushiro, Japan
MDJ|IRISDMC|IC|44.61763|129.59341|81.5564522014882|-41.17358523075246|290|Mudanjiang, Heilongjiang Province, China
MACI|IRISDMC|IU|28.2502|-16.508199|82.42211146891269|61.03568917152681|1674|Morro de la Arena, Canary Islands
